2026-06-24T08:12:35.913380Z [info     ] Created run                    [langgraph_api.models.run] after_seconds=0 api_variant=local_dev assistant_id=14b6845f-f4b7-5a70-91dd-67dcde2cbd60 checkpoint_id=None if_not_exists=create langgraph_api_version=0.10.0 method=POST multitask_strategy=enqueue path=/runs/wait request_id=155efe5c-90f6-4cd2-ab08-5a8de77c76d2 run_create_ms=18 run_id=019ef8b0-2cb8-70f2-9ee8-390be1faa7c5 run_put_ms=16 stream_mode=['values'] stream_resumable=False temporary=True thread_id=019ef8b0-2cb8-70f2-9ee8-391e9aacaf8b thread_name=MainThread
2026-06-24T08:12:36.008757Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:36.420331Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:36.601943Z [info     ] Starting background run        [langgraph_api.worker] api_variant=local_dev assistant_id=14b6845f-f4b7-5a70-91dd-67dcde2cbd60 graph_id=dashboard_agent langgraph_api_version=0.10.0 request_id=155efe5c-90f6-4cd2-ab08-5a8de77c76d2 resumable=False run_attempt=1 run_creation_ms=18 run_id=019ef8b0-2cb8-70f2-9ee8-390be1faa7c5 run_queue_ms=688 run_started_at=2026-06-24T08:12:36.601663+00:00 run_stream_start_ms=0 temporary=True thread_id=019ef8b0-2cb8-70f2-9ee8-391e9aacaf8b thread_name=asyncio_0
2026-06-24T08:12:36.616548Z [warning  ] C:\Users\manag\AppData\Roaming\Python\Python314\site-packages\langgraph\pregel\main.py:3201: UserWarning: `durability` has no effect when no checkpointer is present.
  warnings.warn(
 [py.warnings] api_variant=local_dev assistant_id=14b6845f-f4b7-5a70-91dd-67dcde2cbd60 graph_id=dashboard_agent langgraph_api_version=0.10.0 request_id=155efe5c-90f6-4cd2-ab08-5a8de77c76d2 run_attempt=1 run_id=019ef8b0-2cb8-70f2-9ee8-390be1faa7c5 thread_id=019ef8b0-2cb8-70f2-9ee8-391e9aacaf8b thread_name=MainThread
2026-06-24T08:12:36.838588Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
2026-06-24T08:12:37.141996Z [info     ] Background run succeeded       [langgraph_api.worker] api_variant=local_dev assistant_id=14b6845f-f4b7-5a70-91dd-67dcde2cbd60 graph_id=dashboard_agent langgraph_api_version=0.10.0 request_id=155efe5c-90f6-4cd2-ab08-5a8de77c76d2 run_attempt=1 run_completed_in_ms=1246 run_created_at=2026-06-24T08:12:35.913231+00:00 run_ended_at=2026-06-24T08:12:37.141899+00:00 run_exec_ms=540 run_id=019ef8b0-2cb8-70f2-9ee8-390be1faa7c5 run_started_at=2026-06-24T08:12:36.601663+00:00 run_wait_time_ms=688 thread_id=019ef8b0-2cb8-70f2-9ee8-391e9aacaf8b thread_name=asyncio_0
2026-06-24T08:12:37.252023Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.10.0 thread_name=MainThread
